sparsity,length,time_create_append,time_get_at_rank,time_get_at_index,time_num_elem_at,space,saving
0.050000,665000,1.577032,0.000038,0.000069,0.000126,1571808,20217824
0.050000,670000,1.632306,0.000044,0.000064,0.000125,1593184,20362720
0.050000,675000,1.633913,0.000040,0.000065,0.000134,1593024,20524896
0.050000,680000,1.625202,0.000035,0.000059,0.000115,1607960,20674944
0.050000,685000,1.483929,0.000036,0.000060,0.000117,1608296,20836672
0.050000,690000,1.509508,0.000035,0.000062,0.000116,1637392,20975392
0.050000,695000,1.573327,0.000035,0.000060,0.000114,1657008,21121696
0.050000,700000,1.541960,0.000036,0.000063,0.000116,1645360,21292960
0.050000,705000,1.578989,0.000035,0.000062,0.000114,1674600,21431616
0.050000,710000,1.585986,0.000035,0.000064,0.000113,1673256,21594688
0.050000,715000,1.645761,0.000054,0.000065,0.000116,1703672,21732352
0.050000,720000,1.683437,0.000042,0.000065,0.000115,1717368,21883392
0.050000,725000,1.681782,0.000061,0.000068,0.000124,1715624,22046784
0.050000,730000,1.700664,0.000052,0.000065,0.000115,1730240,22197088
0.050000,735000,1.655124,0.000039,0.000059,0.000107,1741096,22350400
0.050000,740000,1.601388,0.000045,0.000058,0.000107,1747496,22507328
0.050000,745000,1.611118,0.000031,0.000059,0.000108,1767752,22653120
0.050000,750000,1.632479,0.000049,0.000060,0.000106,1787024,22799648
0.050000,755000,1.656846,0.000035,0.000058,0.000109,1807984,22944928
0.050000,760000,1.658353,0.000050,0.000064,0.000109,1794976,23117280
0.050000,765000,1.641647,0.000038,0.000056,0.000099,1829072,23252000
0.050000,770000,1.586102,0.000035,0.000053,0.000099,1837992,23406912
0.050000,775000,1.611795,0.000035,0.000057,0.000099,1847288,23561472
0.050000,780000,1.636082,0.000032,0.000064,0.000100,1844304,23725856
0.050000,785000,1.674980,0.000034,0.000057,0.000098,1895680,23846752
0.050000,790000,1.692959,0.000051,0.000058,0.000100,1899176,24005952
0.050000,795000,1.698379,0.000046,0.000061,0.000098,1907912,24160960
0.050000,800000,1.707194,0.000047,0.000061,0.000099,1912112,24319648
0.050000,805000,1.739702,0.000036,0.000056,0.000098,1931168,24466400
0.050000,810000,1.680275,0.000033,0.000050,0.000092,1933920,24626144
0.050000,815000,1.690966,0.000043,0.000056,0.000092,1949056,24776032
0.050000,820000,1.689127,0.000043,0.000054,0.000093,1962152,24927552
0.050000,825000,1.699045,0.000059,0.000051,0.000093,1974208,25079904
0.050000,830000,1.700010,0.000045,0.000054,0.000093,1966464,25248096
0.050000,835000,1.774406,0.000044,0.000091,0.000106,2007384,25377408
0.050000,840000,1.774486,0.000045,0.000060,0.000094,2014080,25534048
0.050000,845000,1.800851,0.000042,0.000063,0.000094,2024336,25687840
0.050000,850000,1.807505,0.000124,0.000153,0.000149,2024632,25849600
0.050000,855000,1.726286,0.000044,0.000051,0.000088,2051048,25990464
0.050000,860000,1.760291,0.000041,0.000049,0.000086,2058440,26146496
0.050000,865000,1.784964,0.000043,0.000052,0.000087,2066600,26302016
0.050000,870000,1.817453,0.000042,0.000052,0.000088,2097736,26439104
0.050000,875000,1.786558,0.000079,0.000054,0.000087,2101512,26598080
0.050000,880000,1.778451,0.000041,0.000051,0.000087,2105808,26756640
0.050000,885000,1.810224,0.000042,0.000052,0.000087,2131264,26898272
0.050000,890000,1.809372,0.000039,0.000051,0.000089,2123760,27066272
0.050000,895000,1.849626,0.000043,0.000052,0.000088,2152136,27205568
0.050000,900000,1.869790,0.000042,0.000049,0.000088,2159056,27362080
0.050000,905000,1.801279,0.000040,0.000049,0.000084,2169472,27515744
0.050000,910000,1.792838,0.000057,0.000045,0.000083,2199664,27653536
0.050000,915000,1.812477,0.000040,0.000050,0.000084,2202344,27813440
0.050000,920000,1.835634,0.000041,0.000050,0.000083,2197576,27979200
0.050000,925000,1.856011,0.000060,0.000052,0.000117,2217872,28124960
0.050000,930000,1.882103,0.000041,0.000054,0.000084,2234192,28273952
0.050000,935000,1.856860,0.000038,0.000047,0.000077,2251088,28422432
0.050000,940000,1.796417,0.000038,0.000051,0.000079,2255264,28581088
0.050000,945000,1.814461,0.000039,0.000057,0.000079,2275640,28726784
0.050000,950000,1.833014,0.000040,0.000046,0.000079,2286616,28880000
0.050000,955000,1.855968,0.000045,0.000053,0.000081,2304232,29027904
